outbreak_id,date,setting,institution,sport_program,exposed,cases,hospitalized_inpatient,ed_eval,workout,workout_minutes,prior_status,environment,outcomes,attack_rate_hosp,source_type,source
C1,2007-09,NCAA,University of South Carolina,swimming M+W,41.0,7,,,push-ups/squats circuit x10min + 2h swim,,first practices back from break,,myoglobinuria 3/7; no deaths,,peer-reviewed,Galvez CJSM 2008 PMID 18614891
C2,2011-01-20,NCAA,University of Iowa,football,,13,13.0,0.0,100 back squats @50% 1RM + sled pushes,,~3-week break; workout run twice before,indoor,all 13 full recovery; no dialysis/death,,peer-reviewed+institutional,Smoot CJSM 2013 PMID 23657120 + UI Presidential Committee
C3,2013-03,NCAA,Ohio State,women's lacrosse,,6,6.0,,intense new workout,,new workout,,no kidney damage; all recovered,,news,Fox News; Training & Conditioning
C6,2016-08-18,NCAA,Texas Woman's University,women's volleyball,18.0,8,8.0,,preseason fitness test incl 75 triceps push-ups,,preseason; altered structure,,all 8 full recovery,0.444,institutional,TWU/Buckner report 2017-03-24
C7,2017-01,NCAA,University of Oregon,football,,3,3.0,,up to 1h continuous push-ups/up-downs; water denied (alleged),60.0,return from holiday break,indoor,1 permanent kidney damage; $500k settlement,,news+litigation,ESPN; Harvard JSEL commentary
C8,2018-02,NCAA,University of Houston,women's soccer,,1,1.0,,punishment workout: up-downs/planks/shuttles ~1h,60.0,,,~5 days inpatient; audit called workout excessive,,institutional-audit+news,UH Board of Regents audit; KPRC-2
C9,2019-01,NCAA,University of Houston,women's soccer,,12,,,undisclosed; guidelines ignored,,,,assistant S&C coach fired,,institutional-audit+news,UH audit; case count 12 vs 15
C10,2018-08,NCAA,University of Nebraska,football,,2,2.0,,32-minute weight-training session,32.0,offseason,indoor,both recovered,,news,Omaha World-Herald
C11,2022-12-31,NCAA,Concordia University Chicago,men's basketball D-III,,6,6.0,,high-intensity punishment practice (curfew),,holiday period,indoor,all released full recovery; coach fired,,institutional-inquiry+news,CBS (5 vs 6)
C12,2024-09-16,NCAA,Tufts University,men's lacrosse D-III,61.0,24,9.0,,~250 burpees + exercises; led by BUD/S grad; reps not disclosed,75.0,offseason voluntary; no acclimatization,,all recovered; instructor lacked credentials,0.148,institutional,Walters/Aliment report 2025-01-31
H1,2010-08,HighSchool,McMinnville HS Oregon,football,43.0,22,12.0,6.0,partner dips/push-ups at shrinking intervals 30/20/10/7/5s; ~20-25min,22.0,immersion camp,non-AC wrestling room 92F/33C,3 fasciotomies; no AKI; no dialysis; no death,0.279,peer-reviewed+state-health,Oh Sports Health 2012 PMID 23016070
M4,2016-2017,Military-ROTC,US Army ROTC (unnamed),ROTC cadets,44.0,11,11.0,,Murph-type ECP: 1mi run/100 pullups/200 pushups/300 squats/1mi run; timed,,cadets; higher fitness NOT protective,,alcohol prior week RR 4.20; class-ranking incentive,0.25,peer-reviewed,Raleigh Mil Med 2018 PMID 29635568
M6,2017-2021,Military,Fort Benning GA,initial entry training,,1911,,,installation-wide EHI; foot march/run; cluster def >=4/day,,IET; junior enlisted,July-Sept clusters,349 heat stroke; 38 hyponatremia; largest cluster 20 across 7 companies,,peer-reviewed-surveillance,DeGroot MSMR 2022 PMID 35608507
M7,2022-02,Military-elite,Navy BUD/S Class 352,SEAL Hell Week,58.0,4,3.0,,~5-day Hell Week 108.5h across 26 evolutions,6000.0,selection pipeline,cold water,"1 death (Mullen)+3 hospital referrals(2 admitted,1 intubated); 6 medically pulled SIPE",0.052,news+investigation,NETC Command Investigation Class 352 (OCR primary)
